English ,Czech,Deutsch,Spanish,French,Italian,Polish,Portuguese,Russian,Turkish,Chinese,
Dashboard,Ovládací panel,Dashboard,Panel de control,Tableau de bord,Pannello di controllo,Pulpit,Painel,Личный кабинет,Ekran,指示板,
System         ,Systém         ,System,Sistema,Système,Sistema,System,Sistema,СИСТЕМА,Sistem,系统,
Sites,Lokality,Standorte,Sitios,Sites,Siti,Lokalizacje,Locais,Объекты,Sahalar,地点,
Controller,Ovládací jednotka,Steuergerät,Programador,Programmateur,Programmatore,Sterownik,Controlador,Контроллер,Kontrol Ünitesi,控制器,
Weather,Počasí,Wetter,Clima,Météo,Meteo,Pogoda,Tempo,Погода,Hava Durumu,天气,
Alarm / Info,Alarm / informace,Alarm / Info,Alarma / Info,Alarme/Information,Allarme / Info,Alarm / Informacja,Alarme/informações,Аварийный сигнал / информация,Alarm / Bilgi,警报 / 信息,
User Log,Protokol uživatele,Benutzerprotokoll,Registro de usuario,Journal d'utilisateur,Registro utenti,Rejestr użytkownika,Registro do usuário,Журнал пользователя,Kullanıcı Günlüğü,用户日志,
Setting,Nastavení,Einstellung,Configuración,Paramètre,Impostazione,Ustawienia,Configuração,Настройка,Ayarlar,设置,
Login,Přihlaste se,Anmelden,Entrar,Connexion,Accedi,Login,Login,Войти в систему,Oturum Aç,登录,
Running ,Spuštěno ,Betrieb,En ejecución,Fonctionnement,Irrigazione,Uruchomiona,Regando,Работает,Çalışıyor,运行中,
Stopped ,Zastaveno ,Gestoppt,Detenido,Arrêté,Interrotto,Zatrzymane,Interrompido,Остановлено,Durduruldu,已停止,
User,Uživatel,Benutzer,Usuario,Utilisateur,Utente,Użytkownik,Usuário,Пользователь,Kullanıcı,用户,
Communication Status,Stav komunikace,Kommunikationsstatus,Estado de la comunicación,Statut de communication,Stato della comunicazione,Status komunikacji,Status da comunicação,Состояние связи,İletişim Durumu,通信状态,
Controllers Status,Stav ovládacích jednotek,Steuergerätestatus,Estado de los Programadores,État des programmateurs,Stato dei programmatori,Statusy sterowników,Status dos controladores,Состояние контроллеров,Kontrol Ünitelerinin Durumu,控制器状态,
Irrigating:,Zavl.,Bewäs.,Riego,Irrig.,Irrig.,Nawad.,Irrig.,Орош.,Sulama,灌溉,
Alarmed :,Alarm.,Alarm.,Alrm.,Alrm.,Allarm.,Alarm.,Alrm.,Трев.,Alarm,报警,
Operation Status,Stav provozu,Betriebsstatus,Estado de la Operación,État de fonctionnement,Stato dell'operazione,Status działania,Status da operação,Рабочее состояние,Çalışma Durumu,操作状态,
Total Number Of Running Stations,Celkový počet spuštěných stanic,Gesamtzahl Stationen in Betrieb,Estac. en Func.,Nombre total de stations actives,Numero totale di stazioni in esecuzione,Łączna liczba uruchomionych sekcji,Número total de setores em execução,Всего запущенных станций,Toplam Çalışan İstasyon Sayısı,正在运行的站点数量,
Running Stations :,Běž. st.,Lauf. St.,Est. act.,St. en cours,St. att.,St. dział.,Est. em func.,Раб. ст.,Çal. ist.,运行站点,
Total Number Of Running P/MV,Celkový počet spuštěných P/MV,Gesamtzahl P/MV in Betrieb,Número total de P/MV en funcionamiento,Nombre total de P/MV actives,Numero totale di P/MV in esecuzione,Całkowita Liczba Działających P/MV,Número total de P/MVs em execução,Всего запущенных насосов (гл. клапанов),Toplam Çalışan P/MV Sayısı,正在运行的 PMV 数量,
Running P/MV :,Běž. P/MV,Lauf. P/MV,P/MV act.,P/MV en cours,P/MV att.,P/MV dział.,P/MV em func.,Раб. P/MV,Çal. P/MV,运行 P/MV,
Weather Station,Meteostanice,Wetterstation,Estación meteorológica,Station météorologique,Stazione meteorologica,Stacja pogody,Estação meteorológica,Метеостанция,Hava Durumu İstasyonu,气象站,
Air temperature,Teplota vzduchu,Lufttemperatur,La temperatura ambiental,La température de l'air,Temperatura dell'aria,Temperatura powietrza,Temperatura do ar,Температура воздуха,Hava sıcaklığı,气温,
C,C,C,C,C,C,C,C,C,C,C,
Atmospheric Pressure,Atmosférický tlak,Luftdruck,Presión Atmosférica,Pression atmosphérique,Pressione atmosferica,Ciśnienie atmosferyczne,Pressão atmosférica,Атмосферное давление,Atmosferik Basınç,大气压力,
 hPa, hPa,hPa,hPa,hPa,hPa,hPa,hPa,гПа,hPa,hPa,
Wind Direction,Směr větru,Windrichtung,Dirección del Viento,Direction du vent,Direzione del vento,Kierunek wiatru,Direção do vento,Направление ветра,Rüzgar Yönü,风向,
Wind Speed,Rychlost větru,Windstärke,Velocidad del viento,Vitesse du vent,Velocità del vento,Prędkość wiatru,Velocidade do vento,Скорость ветра,Rüzgar Hızı,风速,
 mph, m/h,mph,mph,mph,mph,mph,mph,миль/ч,mph,英里/小时,
Solar Radiation,Sluneční záření,Sonneneinstrahlung,La radiación solar,Rayonnement solaire,Radiazione solare,Promieniowanie słoneczne,Radiação solar,Солнечное излучение,Solar radyasyon,太阳辐射,
 Wm², W/m²,Wm²,Wm²,Wm²,Wm²,Wm²,Wm²,Вт/м²,Wm²,Wm²,
